Lat Long,Emotion
"-37.79,144.75",4
"38.61,-121.51",4
"-23.43,144.26",4
"-37.3,-57.01",4
"34.42,-119.72",4
"53.42,14.53",4
"53.27,-109.99",4
"51,5.83",4
"51.56,0",4
"52.52,7.43",4
"50.86,12.06",4
"51.45,-0.18",4
"-27.5,153",4
"51.99,-0.76",4
"33.39,-111.66",4
"48.44,-123.33",4
"20.98,105.86",4
"49.67,-112.86",4
"47.45,19.16",4
"45.37,-63.2",4
"24.93,55.06",4
"48.86,8.67",4
"45.33,-75.79",4
"57.17,-2.1",4
"-29.69,152.94",4
"51.47,0.09",4
"37.61,-0.99",4
"31.03,31.36",4
"51.05,-114.04",4
"46.83,-71.29",4
"51.16,-114.14",4
"53.26,-6.15",4
"41.18,-81.45",4
"34,-84.63",4
"24.74,59.42",4
"-27.38,153.06",4
"23.02,72.46",4
"45.48,9.23",4
"-33.86,151.19",4
"43.79,-79.44",4
"43.73,-79.4",4
"46.44,-80.91",4
"44.32,11.4",4
"42.22,14.37",4
"37.47,14.04",4
"48.47,-123.32",4
"37.48,14.04",4
"45.31,-75.89",4
"44.22,-76.64",4
"37.94,23.73",4
"1.32,103.77",4
"50.94,-114.13",4
"1.32,103.84",4
"49.88,-119.49",4
"52.33,4.87",4
"-19.26,146.78",4
"44.26,-88.34",4
"52.12,-106.68",4
"49.48,-113.93",4
"37.44,-122.15",4
"43.12,-79.21",4
"-33.87,151.12",4
"1.29,103.89",4
"42.98,-81.19",4
"-37.81,145.22",4
"151.11,-33.75",4
"41.75,-93.61",4
"43.89,-79.46",4
"43.82,-79.14",4
"41.85,12.47",4
"49.93,-96.84",4
"41.88,-87.94",4
"-12.36,130.87",4
"-20.73,116.76",4
"43.68,-79.33",4
"45.52,10.2",4
"-27.37,153.08",4
"144.97,-37.8",4
"-27.21,153.02",4
"-27.45,153.09",4
"35.72,139.65",4
"-33.94,151.1",4
"37.67,-121.86",4
"38.88,-77.08",4
"-20.78,-49.37",4
"51.11,-114.24",4
"49.91,-97.02",4
"43.75,-79.75",4
"44.62,11.49",4
"54.93,23.94",4
"35.65,139.75",4
"38.76,-77.18",4
"45.59,-73.64",4
"45.63,8.78",4
"49.85,-97.1",4
"41.85,12.5",4
"47.48,-53.02",4
"21.16,72.81",4
"45.43,-75.64",4
"62.49,17.32",4
"44.65,-63.6",4
"44.67,-63.5",4
"43.78,-79.32",4
"51.01,-114.14",4
"-27.42,152.98",4
"22.53,113.95",4
"39.68,-105.06",4
"47.37,-122.2",4
"49.48,8.46",4
"51.14,-114.17",4
"-34.94,138.59",4
"49.79,-119.51",4
"-35.23,149.04",4
"44.6,11.25",4
"-27.41,152.91",4
"-27.58,153.03",4
"-37.86,144.98",4
"54.02,23.96",4
"33.91,-118.36",4
"51.31,-0.62",4
"-33.89,151.2",4
"20.97,105.79",4
"37.58,-122",4
"39.58,-74.7",4
"38.87,-91.9",4
"47.61,-122.34",4
"51.32,0.89",4
"44.93,-93.39",4
"-27.92,153.35",4
"-35.29,149.19",4
"51.03,-114.06",4
"53,6.55",4
"49.03,-122.29",4
"45.73,12.43",4
"34.67,135.17",4
"50.95,6.99",4
"-27.57,153.02",4
"-20.45,-54.6",4
"34.88,135.22",4
"-36.83,144.36",4
"151.93,-27.6",4
"-27.65,153.16",4
"-33.77,151.08",4
"153,-27.44",4
"-27.49,153.06",4
"-36.85,174.77",4
"30.87,-86.03",4
"1.35,103.93",4
"-27.47,153.15",4
"44.74,-76.94",4
"59.8,5.52",4
"51.06,4.19",4
"21.3,-157.85",4
"50.07,14.43",4
"59.82,10.41",4
"60,30.26",4
"36.69,-121.65",4
"50.5,-104.64",4
"-27.52,153.2",4
"-16.89,145.74",4
"-37,174.78",4
"152.98,-27.28",4
"17.95,102.61",4
"50.93,-1.39",4
"53.39,-2.92",4
"3.05,101.7",4
"-31.9,115.99",4
"21.28,-157.8",4
"46.85,-71.32",4
"37.3,-79.99",4
"-30.51,151.66",4
"49.05,-122.78",4
"54.73,25.24",4
"64.08,-21.94",4
"-27.3,152.99",4
"-27.29,152.94",4
"51.31,12.38",4
"-35.31,149.13",4
"-27.26,152.96",4
"50.59,-3.67",4
"51.27,-113.98",4
"-36.07,146.93",4
"152.93,-27.29",4
"-27.33,152.96",4
"-27.21,153.11",4
"-27.2,153.1",4
"40.78,16.75",4
"54.72,25.34",4
"-27.55,152.91",4
"48.36,-89.25",4
"-34.58,149.25",4
"45.53,12.64",4
"43.85,-78.95",4
"54.72,25.32",4
"50.1,8.63",4
"42.15,-88.29",4
"53.65,8.51",4
"-37.85,144.99",4
